CUSTOMER_INCOME_LEVEL,YEAR,CUSTOMER_AGE_GROUP,PRIVATE,DEPARTMENT,CLASS,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,NATIONAL
1,2007,19-24,355.49,DRY FOOD,GROCERY,month,12,Dec,sales,1670.52
1,2008,all,1128.8899999999999,all,all,month,4,Apr,sales,2853.8
1,2008,all,1082.21,all,all,month,3,Mar,sales,1385.58
1,2008,all,1116.08,all,all,month,2,Feb,sales,2495.45
1,2008,all,768.85,all,all,month,1,Jan,sales,2026.54
1,2007,all,685.77,all,all,month,12,Dec,sales,2178.01
1,2007,all,881.25,all,all,month,11,Nov,sales,2623.6
1,2008,all,1047.24,all,all,month,5,May,sales,2151.92
1,2007,all,628.9300000000001,all,all,month,10,Oct,sales,1703.98
1,2007,all,658.77,all,all,month,8,Aug,sales,2486.94
1,2007,all,839.58,all,all,month,7,Jul,sales,1984.07
1,2007,all,1050.94,all,all,month,6,Jun,sales,1229.5
1,2007,all,1196.3,all,all,month,5,May,sales,1755.24
1,2007,all,878.58,all,all,month,4,Apr,sales,2316.96
1,2007,all,609.59,all,all,month,3,Mar,sales,1331.72
1,2007,all,605.52,all,all,month,9,Sep,sales,1512.28
1,2008,all,860.6400000000001,all,all,month,6,Jun,sales,3287.73
1,2008,all,710.74,all,all,month,7,Jul,sales,1707.2
1,2008,all,1056.19,all,all,month,8,Aug,sales,2172.54
1,2007,19-24,525.59,DRY FOOD,GROCERY,month,11,Nov,sales,2044.57
1,2007,19-24,310.11,DRY FOOD,GROCERY,month,10,Oct,sales,1183.13
1,2007,19-24,334.99,DRY FOOD,GROCERY,month,9,Sep,sales,1117.51
1,2007,19-24,350.02,DRY FOOD,GROCERY,month,8,Aug,sales,2073.62
1,2007,19-24,521.74,DRY FOOD,GROCERY,month,7,Jul,sales,1632.02
1,2007,19-24,642.54,DRY FOOD,GROCERY,month,6,Jun,sales,920.96
1,2007,19-24,712.36,DRY FOOD,GROCERY,month,5,May,sales,1322.13
1,2007,19-24,521.6800000000001,DRY FOOD,GROCERY,month,4,Apr,sales,2066.64
1,2007,19-24,366.59000000000003,DRY FOOD,GROCERY,month,3,Mar,sales,1147.91
1,2007,19-24,245.89000000000001,DRY FOOD,GROCERY,month,2,Feb,sales,652.48
1,2007,19-24,82.9,DRY FOOD,GROCERY,month,1,Jan,sales,132.81
1,2008,all,276.5,all,all,month,12,Dec,sales,1038.29
1,2008,all,780.79,all,all,month,11,Nov,sales,2695.9500000000003
1,2008,all,622.14,all,all,month,10,Oct,sales,2888.8599999999997
1,2008,all,601.69,all,all,month,9,Sep,sales,1708.8799999999999
1,2008,all,276.5,DRY FOOD,GROCERY,month,12,Dec,sales,717.6500000000001
1,2007,19-24,82.9,DRY FOOD,all,month,1,Jan,sales,132.81
1,2007,19-24,245.89000000000001,DRY FOOD,all,month,2,Feb,sales,652.48
1,2007,19-24,366.59000000000003,DRY FOOD,all,month,3,Mar,sales,1147.91
1,2007,19-24,469.07,all,all,country,1,Lithuania,sales,1716.15
1,2007,19-24,141.51,all,all,country,1,Greece,sales,394.81
1,2007,19-24,485.28000000000003,all,all,country,1,Germany,sales,1649.58
1,2007,19-24,485.71,all,all,country,1,France,sales,1239.25
1,2007,19-24,99.35,all,all,country,1,Bulgaria,sales,368.38
1,2007,19-24,591.67,all,all,country,1,Belgium,sales,1752.72
1,2007,19-24,52.53,all,all,country,1,Luxembourg,sales,188.05
1,2008,all,276.5,DRY FOOD,all,month,12,Dec,sales,717.6500000000001
1,2008,all,622.14,DRY FOOD,all,month,10,Oct,sales,2157.3199999999997
1,2008,all,601.69,DRY FOOD,all,month,9,Sep,sales,1175.26
1,2008,all,1056.19,DRY FOOD,all,month,8,Aug,sales,1397.8799999999999
1,2008,all,710.74,DRY FOOD,all,month,7,Jul,sales,1239.14
