YEAR,CUSTOMER_AGE_GROUP,DEPARTMENT,CLASS,PRODUCT_DESC,TOTAL_VALUE,VAR_SP
2008,19-24,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,2988.96,sales
2008,19-24,DRY FOOD,GROCERY,SFT DRNK 2 LITER BTL CARB INCL,1622.42,sales
2008,19-24,DRY FOOD,GROCERY,SNACKS/APPETIZERS,1819.81,sales
2008,19-24,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,15963.65,sales
2008,25-34,DRY FOOD,DRUG GM,CIGARETTES,4700.29,sales
2008,25-34,DRY FOOD,DRUG GM,NEWSPAPER,1280.27,sales
2008,25-34,DRY FOOD,GROCERY,CATSUP,765.44,sales
2008,25-34,DRY FOOD,GROCERY,CORN,1365.08,sales
2008,25-34,DRY FOOD,GROCERY,COTTAGE CHEESE,2193.34,sales
2008,25-34,DRY FOOD,GROCERY,CREAM CHEESE,1832.1200000000001,sales
2008,25-34,DRY FOOD,GROCERY,DAIRY CASE 100% PURE JUICE - O,2111.71,sales
2008,25-34,DRY FOOD,GROCERY,EGGS - LARGE,3443.69,sales
2008,25-34,DRY FOOD,GROCERY,EGGS - MEDIUM,1807.33,sales
2008,25-34,DRY FOOD,GROCERY,FLUID MILK WHITE ONLY,14331.93,sales
2008,25-34,DRY FOOD,GROCERY,IWS SINGLE CHEESE,5436.51,sales
2008,25-34,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,6316.7,sales
2008,25-34,DRY FOOD,GROCERY,SFT DRNK SNGL SRV BTL CARB (EX,3068.27,sales
2008,25-34,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,5438.36,sales
2008,25-34,DRY FOOD,GROCERY,SOUP CRACKERS (SALTINE/OYSTER),1379.7,sales
2008,25-34,DRY FOOD,GROCERY,SUGAR,3583.12,sales
2008,25-34,DRY FOOD,GROCERY,TORTILLA/NACHO CHIPS,3613.62,sales
2008,25-34,FRESH FOOD,DELI,MEAT: LUNCHMEAT BULK,2702.03,sales
2008,25-34,FRESH FOOD,DELI,MEAT: SAUS DRY BULK,3759.74,sales
2008,25-34,FRESH FOOD,MEAT,CHICKEN BREAST BONELESS,15108.51,sales
2008,25-34,FRESH FOOD,PRODUCE,APPLES GRANNY SMITH (BULK&BAG),2493.78,sales
2008,25-34,FRESH FOOD,PRODUCE,AVOCADO,2142.94,sales
2008,25-34,FRESH FOOD,PRODUCE,CANTALOUPE WHOLE,3771.27,sales
2008,25-34,FRESH FOOD,PRODUCE,CORN YELLOW,1739.49,sales
2008,25-34,FRESH FOOD,PRODUCE,HEAD LETTUCE,2432.43,sales
2008,25-34,FRESH FOOD,PRODUCE,MUSHROOMS WHITE SLICED PKG,1883.15,sales
2008,25-34,FRESH FOOD,PRODUCE,ONIONS OTHER,1457.85,sales
2008,25-34,FRESH FOOD,PRODUCE,ONIONS SWEET (BULK&BAG),1865.56,sales
2008,25-34,FRESH FOOD,PRODUCE,PEPPERS GREEN BELL,3071.7000000000003,sales
