YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,VAR_SP,VAR_CM
2008,7,Jul,55-64,627.35,profit,month
2008,7,Jul,65+,390.52,profit,month
2008,8,Aug,19-24,2232.76,profit,month
2008,8,Aug,25-34,10082.27,profit,month
2008,8,Aug,35-44,15619.5,profit,month
2008,8,Aug,45-54,12602.72,profit,month
2008,8,Aug,55-64,1231.37,profit,month
2008,8,Aug,65+,495.02,profit,month
2008,9,Sep,19-24,1606.5,profit,month
2008,9,Sep,25-34,8523.39,profit,month
2008,9,Sep,35-44,12526.99,profit,month
2008,9,Sep,45-54,9836.75,profit,month
2008,9,Sep,55-64,1085.37,profit,month
2008,9,Sep,65+,323.29,profit,month
2008,10,Oct,19-24,2525.6,profit,month
2008,10,Oct,25-34,8666.18,profit,month
2008,10,Oct,35-44,13840.039999999999,profit,month
2008,10,Oct,45-54,11129.039999999999,profit,month
2008,10,Oct,55-64,578.06,profit,month
2008,10,Oct,65+,493.74,profit,month
2008,11,Nov,19-24,2522.17,profit,month
2008,11,Nov,25-34,10844.91,profit,month
2008,11,Nov,35-44,18367.7,profit,month
2008,11,Nov,45-54,13219.84,profit,month
2008,11,Nov,55-64,1214.73,profit,month
2008,11,Nov,65+,492.17,profit,month
2008,12,Dec,19-24,901.08,profit,month
2008,12,Dec,25-34,3760.38,profit,month
2008,12,Dec,35-44,6026.59,profit,month
2008,12,Dec,45-54,4144.59,profit,month
2008,12,Dec,55-64,495.38,profit,month
2008,12,Dec,65+,170.34,profit,month
2007,1,Jan,all,4176.83,profit,month
2007,2,Feb,all,13583.44,profit,month
2007,3,Mar,all,21267.15,profit,month
2007,4,Apr,all,31177.16,profit,month
2007,5,May,all,39923.91,profit,month
2007,6,Jun,all,31298.2,profit,month
2007,7,Jul,all,31204.28,profit,month
2007,8,Aug,all,39601.03,profit,month
2007,9,Sep,all,33337.11,profit,month
2007,10,Oct,all,33930.07,profit,month
2007,11,Nov,all,43563.759999999995,profit,month
2007,12,Dec,all,35997.35,profit,month
2008,1,Jan,all,35727.33,profit,month
2008,2,Feb,all,43847.76,profit,month
2008,3,Mar,all,36729.84,profit,month
2008,4,Apr,all,36545.340000000004,profit,month
2008,5,May,all,42049.28999999999,profit,month
2008,6,Jun,all,35482.44,profit,month
