YEAR,child,CUSTOMER_AGE_GROUP,BRAND,VAR_CM,X_AXIS,ORDER_BY,VAR_SP,parent,TOTAL_VALUE
2008,NON FOOD,35-44,all,month,Nov,11,sales,root,
2008,NON FOOD,35-44,all,month,Dec,12,sales,root,
2007,DRY FOOD,all,all,month,Jan,1,sales,root,
2007,DRY FOOD,all,all,month,Feb,2,sales,root,
2007,DRY FOOD,all,all,month,Mar,3,sales,root,
2007,DRY FOOD,all,all,month,Apr,4,sales,root,
2007,DRY FOOD,all,all,month,May,5,sales,root,
2007,DRY FOOD,all,all,month,Jun,6,sales,root,
2007,DRY FOOD,all,all,month,Jul,7,sales,root,
2007,DRY FOOD,all,all,month,Aug,8,sales,root,
2007,DRY FOOD,all,all,month,Sep,9,sales,root,
2007,DRY FOOD,all,all,month,Oct,10,sales,root,
2007,DRY FOOD,all,all,month,Nov,11,sales,root,
2007,DRY FOOD,all,all,month,Dec,12,sales,root,
2007,FRESH FOOD,all,all,month,Jan,1,sales,root,
2007,FRESH FOOD,all,all,month,Feb,2,sales,root,
2007,FRESH FOOD,all,all,month,Mar,3,sales,root,
2007,FRESH FOOD,all,all,month,Apr,4,sales,root,
2007,FRESH FOOD,all,all,month,May,5,sales,root,
2007,FRESH FOOD,all,all,month,Jun,6,sales,root,
2007,FRESH FOOD,all,all,month,Jul,7,sales,root,
2007,FRESH FOOD,all,all,month,Aug,8,sales,root,
2007,FRESH FOOD,all,all,month,Sep,9,sales,root,
2007,FRESH FOOD,all,all,month,Oct,10,sales,root,
2007,FRESH FOOD,all,all,month,Nov,11,sales,root,
2007,FRESH FOOD,all,all,month,Dec,12,sales,root,
2007,NON FOOD,all,all,month,Jan,1,sales,root,
2007,NON FOOD,all,all,month,Feb,2,sales,root,
2007,NON FOOD,all,all,month,Mar,3,sales,root,
2007,NON FOOD,all,all,month,Apr,4,sales,root,
2007,NON FOOD,all,all,month,May,5,sales,root,
2007,NON FOOD,all,all,month,Jun,6,sales,root,
2007,NON FOOD,all,all,month,Jul,7,sales,root,
2007,NON FOOD,all,all,month,Aug,8,sales,root,
2007,NON FOOD,all,all,month,Sep,9,sales,root,
2007,NON FOOD,all,all,month,Oct,10,sales,root,
2007,NON FOOD,all,all,month,Nov,11,sales,root,
2007,NON FOOD,all,all,month,Dec,12,sales,root,
2008,DRY FOOD,all,all,month,Jan,1,sales,root,
2008,DRY FOOD,all,all,month,Feb,2,sales,root,
2008,DRY FOOD,all,all,month,Mar,3,sales,root,
2008,DRY FOOD,all,all,month,Apr,4,sales,root,
2008,DRY FOOD,all,all,month,May,5,sales,root,
2008,DRY FOOD,all,all,month,Jun,6,sales,root,
2008,DRY FOOD,all,all,month,Jul,7,sales,root,
2008,DRY FOOD,all,all,month,Aug,8,sales,root,
2008,DRY FOOD,all,all,month,Sep,9,sales,root,
2008,DRY FOOD,all,all,month,Oct,10,sales,root,
2008,DRY FOOD,all,all,month,Nov,11,sales,root,
2008,DRY FOOD,all,all,month,Dec,12,sales,root,
2008,FRESH FOOD,all,all,month,Jan,1,sales,root,
2008,FRESH FOOD,all,all,month,Feb,2,sales,root,
2008,FRESH FOOD,all,all,month,Mar,3,sales,root,
2008,FRESH FOOD,all,all,month,Apr,4,sales,root,
2008,FRESH FOOD,all,all,month,May,5,sales,root,
2008,FRESH FOOD,all,all,month,Jun,6,sales,root,
2008,FRESH FOOD,all,all,month,Jul,7,sales,root,
2008,FRESH FOOD,all,all,month,Aug,8,sales,root,
2008,FRESH FOOD,all,all,month,Sep,9,sales,root,
2008,FRESH FOOD,all,all,month,Oct,10,sales,root,
2008,FRESH FOOD,all,all,month,Nov,11,sales,root,
2008,FRESH FOOD,all,all,month,Dec,12,sales,root,
2008,NON FOOD,all,all,month,Jan,1,sales,root,
2008,NON FOOD,all,all,month,Feb,2,sales,root,
2008,NON FOOD,all,all,month,Mar,3,sales,root,
2008,NON FOOD,all,all,month,Apr,4,sales,root,
2008,NON FOOD,all,all,month,May,5,sales,root,
2008,NON FOOD,all,all,month,Jun,6,sales,root,
2008,NON FOOD,all,all,month,Jul,7,sales,root,
2008,NON FOOD,all,all,month,Aug,8,sales,root,
2008,NON FOOD,all,all,month,Sep,9,sales,root,
2008,NON FOOD,all,all,month,Oct,10,sales,root,
2008,NON FOOD,all,all,month,Nov,11,sales,root,
2008,NON FOOD,all,all,month,Dec,12,sales,root,
2007,DRY FOOD,25-34,NATIONAL,month,Jan,1,sales,root,
2007,DRY FOOD,25-34,NATIONAL,month,Feb,2,sales,root,
2007,DRY FOOD,25-34,NATIONAL,month,Mar,3,sales,root,
2007,DRY FOOD,25-34,NATIONAL,month,Apr,4,sales,root,
2007,DRY FOOD,25-34,NATIONAL,month,May,5,sales,root,
2007,DRY FOOD,25-34,NATIONAL,month,Jun,6,sales,root,
