YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,PRODUCT_DESC,VAR_SP,VAR_CM
2007,2,Feb,55-64,365.11,NATIONAL,all,all,all,sales,month
2007,2,Feb,55-64,5.66,PRIVATE,all,all,all,sales,month
2007,2,Feb,65+,94.35,NATIONAL,all,all,all,sales,month
2007,2,Feb,65+,11.29,PRIVATE,all,all,all,sales,month
2007,3,Mar,19-24,195.26,NATIONAL,all,all,all,sales,month
2007,3,Mar,19-24,52.86,PRIVATE,all,all,all,sales,month
2007,3,Mar,25-34,1519.2,NATIONAL,all,all,all,sales,month
2007,3,Mar,25-34,5842.89,PRIVATE,all,all,all,sales,month
2007,3,Mar,35-44,824.74,NATIONAL,all,all,all,sales,month
2007,3,Mar,35-44,769.85,PRIVATE,all,all,all,sales,month
2007,3,Mar,45-54,1465.78,NATIONAL,all,all,all,sales,month
2007,3,Mar,45-54,224.57999999999998,PRIVATE,all,all,all,sales,month
2007,3,Mar,55-64,606.89,NATIONAL,all,all,all,sales,month
2007,3,Mar,55-64,11.620000000000001,PRIVATE,all,all,all,sales,month
2007,3,Mar,65+,175.05,NATIONAL,all,all,all,sales,month
2007,3,Mar,65+,8.69,PRIVATE,all,all,all,sales,month
2007,4,Apr,19-24,232.3,NATIONAL,all,all,all,sales,month
2007,4,Apr,19-24,86.18,PRIVATE,all,all,all,sales,month
2007,4,Apr,25-34,1761.7,NATIONAL,all,all,all,sales,month
2007,4,Apr,25-34,9773.01,PRIVATE,all,all,all,sales,month
2007,4,Apr,35-44,1317.44,NATIONAL,all,all,all,sales,month
2007,4,Apr,35-44,1311.5,PRIVATE,all,all,all,sales,month
2007,4,Apr,45-54,1584.3700000000001,NATIONAL,all,all,all,sales,month
2007,4,Apr,45-54,290.43,PRIVATE,all,all,all,sales,month
2007,4,Apr,55-64,606.26,NATIONAL,all,all,all,sales,month
2007,4,Apr,55-64,5.68,PRIVATE,all,all,all,sales,month
2007,4,Apr,65+,263.18,NATIONAL,all,all,all,sales,month
2007,4,Apr,65+,4.07,PRIVATE,all,all,all,sales,month
2007,5,May,19-24,238.6,NATIONAL,all,all,all,sales,month
2007,5,May,19-24,44.7,PRIVATE,all,all,all,sales,month
2007,5,May,25-34,2112.32,NATIONAL,all,all,all,sales,month
2007,5,May,25-34,17892.77,PRIVATE,all,all,all,sales,month
2007,5,May,35-44,1306.14,NATIONAL,all,all,all,sales,month
2007,5,May,35-44,2029.55,PRIVATE,all,all,all,sales,month
2007,5,May,45-54,2172.23,NATIONAL,all,all,all,sales,month
2007,5,May,45-54,246.27,PRIVATE,all,all,all,sales,month
2007,5,May,55-64,713.78,NATIONAL,all,all,all,sales,month
2007,5,May,55-64,6.68,PRIVATE,all,all,all,sales,month
2007,5,May,65+,312.76,NATIONAL,all,all,all,sales,month
2007,5,May,65+,15.28,PRIVATE,all,all,all,sales,month
2007,6,Jun,19-24,151.86,NATIONAL,all,all,all,sales,month
2007,6,Jun,19-24,88.39,PRIVATE,all,all,all,sales,month
2007,6,Jun,25-34,1721.18,NATIONAL,all,all,all,sales,month
2007,6,Jun,25-34,17906.58,PRIVATE,all,all,all,sales,month
2007,6,Jun,35-44,1248.02,NATIONAL,all,all,all,sales,month
2007,6,Jun,35-44,1704.85,PRIVATE,all,all,all,sales,month
2007,6,Jun,45-54,1435.41,NATIONAL,all,all,all,sales,month
2007,6,Jun,45-54,303.96,PRIVATE,all,all,all,sales,month
2007,6,Jun,55-64,686.4399999999999,NATIONAL,all,all,all,sales,month
2007,6,Jun,55-64,20.82,PRIVATE,all,all,all,sales,month
2007,6,Jun,65+,195.38,NATIONAL,all,all,all,sales,month
2007,6,Jun,65+,12.08,PRIVATE,all,all,all,sales,month
2007,7,Jul,19-24,379.01,NATIONAL,all,all,all,sales,month
2007,7,Jul,19-24,69.17,PRIVATE,all,all,all,sales,month
2007,7,Jul,25-34,2066.72,NATIONAL,all,all,all,sales,month
2007,7,Jul,25-34,16973.48,PRIVATE,all,all,all,sales,month
2007,7,Jul,35-44,1505.59,NATIONAL,all,all,all,sales,month
2007,7,Jul,35-44,1945.3899999999999,PRIVATE,all,all,all,sales,month
2007,7,Jul,45-54,1758.55,NATIONAL,all,all,all,sales,month
2007,7,Jul,45-54,221.48,PRIVATE,all,all,all,sales,month
2007,7,Jul,55-64,474.58,NATIONAL,all,all,all,sales,month
2007,7,Jul,55-64,13.65,PRIVATE,all,all,all,sales,month
2007,7,Jul,65+,236.45,NATIONAL,all,all,all,sales,month
2007,7,Jul,65+,46.98,PRIVATE,all,all,all,sales,month
2007,8,Aug,19-24,493.55,NATIONAL,all,all,all,sales,month
2007,8,Aug,19-24,52.14,PRIVATE,all,all,all,sales,month
2007,8,Aug,25-34,2202.98,NATIONAL,all,all,all,sales,month
2007,8,Aug,25-34,16987.51,PRIVATE,all,all,all,sales,month
2007,8,Aug,35-44,1406.89,NATIONAL,all,all,all,sales,month
2007,8,Aug,35-44,1936.21,PRIVATE,all,all,all,sales,month
2007,8,Aug,45-54,2596.05,NATIONAL,all,all,all,sales,month
2007,8,Aug,45-54,329.62,PRIVATE,all,all,all,sales,month
2007,8,Aug,55-64,405.73,NATIONAL,all,all,all,sales,month
2007,8,Aug,55-64,11.66,PRIVATE,all,all,all,sales,month
2007,8,Aug,65+,233.48,NATIONAL,all,all,all,sales,month
2007,8,Aug,65+,21.04,PRIVATE,all,all,all,sales,month
2007,9,Sep,19-24,147.23,NATIONAL,all,all,all,sales,month
2007,9,Sep,19-24,39.38,PRIVATE,all,all,all,sales,month
2007,9,Sep,25-34,1586.95,NATIONAL,all,all,all,sales,month
2007,9,Sep,25-34,13215.55,PRIVATE,all,all,all,sales,month
2007,9,Sep,35-44,1237.56,NATIONAL,all,all,all,sales,month
2007,9,Sep,35-44,1733.79,PRIVATE,all,all,all,sales,month
2007,9,Sep,45-54,2087.71,NATIONAL,all,all,all,sales,month
2007,9,Sep,45-54,402.71,PRIVATE,all,all,all,sales,month
2007,9,Sep,55-64,886.16,NATIONAL,all,all,all,sales,month
2007,9,Sep,55-64,2.99,PRIVATE,all,all,all,sales,month
2007,9,Sep,65+,258.25,NATIONAL,all,all,all,sales,month
2007,9,Sep,65+,12.33,PRIVATE,all,all,all,sales,month
2007,10,Oct,19-24,208.48000000000002,NATIONAL,all,all,all,sales,month
2007,10,Oct,19-24,33.01,PRIVATE,all,all,all,sales,month
2007,10,Oct,25-34,1779.31,NATIONAL,all,all,all,sales,month
2007,10,Oct,25-34,12426.53,PRIVATE,all,all,all,sales,month
2007,10,Oct,35-44,1200.25,NATIONAL,all,all,all,sales,month
2007,10,Oct,35-44,1538.86,PRIVATE,all,all,all,sales,month
2007,10,Oct,45-54,2293.22,NATIONAL,all,all,all,sales,month
2007,10,Oct,45-54,254.42,PRIVATE,all,all,all,sales,month
2007,10,Oct,55-64,611.27,NATIONAL,all,all,all,sales,month
2007,10,Oct,55-64,8.66,PRIVATE,all,all,all,sales,month
2007,10,Oct,65+,280.68,NATIONAL,all,all,all,sales,month
2007,10,Oct,65+,21.71,PRIVATE,all,all,all,sales,month
2007,11,Nov,19-24,310.08,NATIONAL,all,all,all,sales,month
2007,11,Nov,19-24,76.39,PRIVATE,all,all,all,sales,month
2007,11,Nov,25-34,2301.24,NATIONAL,all,all,all,sales,month
2007,11,Nov,25-34,15640.82,PRIVATE,all,all,all,sales,month
2007,11,Nov,35-44,1249.29,NATIONAL,all,all,all,sales,month
2007,11,Nov,35-44,2213.93,PRIVATE,all,all,all,sales,month
2007,11,Nov,45-54,2260.19,NATIONAL,all,all,all,sales,month
2007,11,Nov,45-54,315.92,PRIVATE,all,all,all,sales,month
2007,11,Nov,55-64,1022.99,NATIONAL,all,all,all,sales,month
2007,11,Nov,55-64,14.64,PRIVATE,all,all,all,sales,month
2007,11,Nov,65+,382.07,NATIONAL,all,all,all,sales,month
2007,11,Nov,65+,21.18,PRIVATE,all,all,all,sales,month
2007,12,Dec,19-24,350.78,NATIONAL,all,all,all,sales,month
2007,12,Dec,19-24,59.07,PRIVATE,all,all,all,sales,month
2007,12,Dec,25-34,2048.37,NATIONAL,all,all,all,sales,month
2007,12,Dec,25-34,13778.76,PRIVATE,all,all,all,sales,month
2007,12,Dec,35-44,1191.18,NATIONAL,all,all,all,sales,month
2007,12,Dec,35-44,2204.2599999999998,PRIVATE,all,all,all,sales,month
2007,12,Dec,45-54,1938.86,NATIONAL,all,all,all,sales,month
2007,12,Dec,45-54,296.91,PRIVATE,all,all,all,sales,month
2007,12,Dec,55-64,989.97,NATIONAL,all,all,all,sales,month
2007,12,Dec,55-64,16.44,PRIVATE,all,all,all,sales,month
2007,12,Dec,65+,199.9,NATIONAL,all,all,all,sales,month
2007,12,Dec,65+,16.15,PRIVATE,all,all,all,sales,month
2008,1,Jan,19-24,202.98,NATIONAL,all,all,all,sales,month
2008,1,Jan,19-24,43.35,PRIVATE,all,all,all,sales,month
2008,1,Jan,25-34,1575.52,NATIONAL,all,all,all,sales,month
2008,1,Jan,25-34,15518.8,PRIVATE,all,all,all,sales,month
2008,1,Jan,35-44,1152.01,NATIONAL,all,all,all,sales,month
2008,1,Jan,35-44,1716.27,PRIVATE,all,all,all,sales,month
2008,1,Jan,45-54,2149.71,NATIONAL,all,all,all,sales,month
2008,1,Jan,45-54,301.68,PRIVATE,all,all,all,sales,month
2008,1,Jan,55-64,694.03,NATIONAL,all,all,all,sales,month
2008,1,Jan,55-64,11.66,PRIVATE,all,all,all,sales,month
2008,1,Jan,65+,221.57,NATIONAL,all,all,all,sales,month
2008,1,Jan,65+,21.77,PRIVATE,all,all,all,sales,month
2008,2,Feb,19-24,463.13,NATIONAL,all,all,all,sales,month
2008,2,Feb,19-24,107.21,PRIVATE,all,all,all,sales,month
2008,2,Feb,25-34,2136.55,NATIONAL,all,all,all,sales,month
2008,2,Feb,25-34,22414.99,PRIVATE,all,all,all,sales,month
2008,2,Feb,35-44,1448.7,NATIONAL,all,all,all,sales,month
2008,2,Feb,35-44,2798.98,PRIVATE,all,all,all,sales,month
2008,2,Feb,45-54,2166.9,NATIONAL,all,all,all,sales,month
2008,2,Feb,45-54,358.37,PRIVATE,all,all,all,sales,month
2008,2,Feb,55-64,749.16,NATIONAL,all,all,all,sales,month
2008,2,Feb,55-64,7.67,PRIVATE,all,all,all,sales,month
2008,2,Feb,65+,247.41,NATIONAL,all,all,all,sales,month
2008,2,Feb,65+,31.68,PRIVATE,all,all,all,sales,month
2008,3,Mar,19-24,121.79,NATIONAL,all,all,all,sales,month
