WEEK_NO,CLASS,SUB_CLASS,PRODUCT_DESC,YEAR,QUARTERS,DEPARTMENT,QUANTITY,DISCOUNT_YN,VAR_GRP
97,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,16.0,1,Q
98,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,21.0,1,Q
99,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,1.0,0,Q
100,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,3.0,0,Q
101,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,1.0,0,Q
102,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,3.0,0,Q
1,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,2.0,0,Q
2,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,1.0,0,Q
3,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,1.0,0,Q
4,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,3.0,0,Q
5,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,1.0,0,Q
6,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,3.0,1,Q
7,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,16.0,1,Q
8,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,9.0,1,Q
9,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,14.0,1,Q
10,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,6.0,0,Q
11,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,7.0,0,Q
12,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,6.0,0,Q
13,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,1,FRESH FOOD,3.0,0,Q
14,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,3.0,0,Q
15,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,3.0,0,Q
16,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,7.0,0,Q
17,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,6.0,0,Q
18,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,7.0,0,Q
19,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,6.0,0,Q
20,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,10.0,0,Q
21,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,3.0,0,Q
22,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,10.0,0,Q
23,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,6.0,0,Q
24,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,6.0,0,Q
25,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,6.0,0,Q
26,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,2,FRESH FOOD,10.0,0,Q
27,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,10.0,0,Q
