DEPARTMENT,CUSTOMER_AGE_GROUP,VALUE_2007,BRAND,ORDER_BY,X_AXIS,VAR_CM,VAR_SP,VALUE_2008
DRY FOOD,25-34,3758,PRIVATE,5,May,month,sales,3332.0
DRY FOOD,25-34,2962,PRIVATE,6,Jun,month,sales,2858.0
DRY FOOD,25-34,2814,PRIVATE,7,Jul,month,sales,2645.0
DRY FOOD,25-34,3502,PRIVATE,8,Aug,month,sales,4117.0
DRY FOOD,25-34,3283,PRIVATE,9,Sep,month,sales,3164.0
DRY FOOD,25-34,3261,PRIVATE,10,Oct,month,sales,3468.0
DRY FOOD,25-34,3988,PRIVATE,11,Nov,month,sales,3980.0
DRY FOOD,25-34,2933,PRIVATE,12,Dec,month,sales,1427.0
DRY FOOD,35-44,239,NATIONAL,1,Jan,month,sales,2607.0
DRY FOOD,35-44,870,NATIONAL,2,Feb,month,sales,3146.0
DRY FOOD,35-44,1661,NATIONAL,3,Mar,month,sales,2800.0
DRY FOOD,35-44,2908,NATIONAL,4,Apr,month,sales,3075.0
DRY FOOD,35-44,2804,NATIONAL,5,May,month,sales,2637.0
DRY FOOD,35-44,2453,NATIONAL,6,Jun,month,sales,2830.0
DRY FOOD,35-44,2626,NATIONAL,7,Jul,month,sales,2098.0
DRY FOOD,35-44,2789,NATIONAL,8,Aug,month,sales,2459.0
DRY FOOD,35-44,2309,NATIONAL,9,Sep,month,sales,1888.0
DRY FOOD,35-44,2381,NATIONAL,10,Oct,month,sales,2588.0
DRY FOOD,35-44,3684,NATIONAL,11,Nov,month,sales,3627.0
DRY FOOD,35-44,2798,NATIONAL,12,Dec,month,sales,1073.0
DRY FOOD,35-44,848,PRIVATE,1,Jan,month,sales,6506.0
DRY FOOD,35-44,2433,PRIVATE,2,Feb,month,sales,7463.0
DRY FOOD,35-44,3404,PRIVATE,3,Mar,month,sales,6078.0
DRY FOOD,35-44,5254,PRIVATE,4,Apr,month,sales,5685.0
DRY FOOD,35-44,6959,PRIVATE,5,May,month,sales,8387.0
DRY FOOD,35-44,5656,PRIVATE,6,Jun,month,sales,5943.0
DRY FOOD,35-44,5096,PRIVATE,7,Jul,month,sales,6188.0
DRY FOOD,35-44,7704,PRIVATE,8,Aug,month,sales,6858.0
DRY FOOD,35-44,6142,PRIVATE,9,Sep,month,sales,6031.0
DRY FOOD,35-44,6071,PRIVATE,10,Oct,month,sales,6478.0
DRY FOOD,35-44,7211,PRIVATE,11,Nov,month,sales,8902.0
DRY FOOD,35-44,6465,PRIVATE,12,Dec,month,sales,2919.0
DRY FOOD,45-54,164,NATIONAL,1,Jan,month,sales,1172.0
DRY FOOD,45-54,450,NATIONAL,2,Feb,month,sales,1074.0
DRY FOOD,45-54,472,NATIONAL,3,Mar,month,sales,918.0
DRY FOOD,45-54,1020,NATIONAL,4,Apr,month,sales,941.0
DRY FOOD,45-54,1073,NATIONAL,5,May,month,sales,1656.0
DRY FOOD,45-54,889,NATIONAL,6,Jun,month,sales,959.0
DRY FOOD,45-54,989,NATIONAL,7,Jul,month,sales,1095.0
DRY FOOD,45-54,1284,NATIONAL,8,Aug,month,sales,1645.0
DRY FOOD,45-54,1900,NATIONAL,9,Sep,month,sales,1849.0
DRY FOOD,45-54,1478,NATIONAL,10,Oct,month,sales,1520.0
DRY FOOD,45-54,1298,NATIONAL,11,Nov,month,sales,1663.0
DRY FOOD,45-54,1120,NATIONAL,12,Dec,month,sales,406.0
DRY FOOD,45-54,427,PRIVATE,1,Jan,month,sales,3198.0
DRY FOOD,45-54,1237,PRIVATE,2,Feb,month,sales,3911.0
DRY FOOD,45-54,1695,PRIVATE,3,Mar,month,sales,3083.0
DRY FOOD,45-54,2697,PRIVATE,4,Apr,month,sales,3163.0
DRY FOOD,45-54,3585,PRIVATE,5,May,month,sales,4226.0
DRY FOOD,45-54,2820,PRIVATE,6,Jun,month,sales,3057.0
DRY FOOD,45-54,2838,PRIVATE,7,Jul,month,sales,3122.0
DRY FOOD,45-54,3706,PRIVATE,8,Aug,month,sales,4060.0
DRY FOOD,45-54,3633,PRIVATE,9,Sep,month,sales,3514.0
DRY FOOD,45-54,3133,PRIVATE,10,Oct,month,sales,3803.0
DRY FOOD,45-54,3770,PRIVATE,11,Nov,month,sales,4510.0
DRY FOOD,45-54,3011,PRIVATE,12,Dec,month,sales,1409.0
DRY FOOD,65+,3,PRIVATE,1,Jan,month,sales,62.0
DRY FOOD,65+,21,PRIVATE,2,Feb,month,sales,88.0
DRY FOOD,65+,28,PRIVATE,3,Mar,month,sales,73.0
DRY FOOD,65+,35,PRIVATE,4,Apr,month,sales,40.0
DRY FOOD,65+,75,PRIVATE,5,May,month,sales,67.0
DRY FOOD,65+,63,PRIVATE,6,Jun,month,sales,64.0
DRY FOOD,65+,88,PRIVATE,7,Jul,month,sales,58.0
DRY FOOD,65+,91,PRIVATE,8,Aug,month,sales,70.0
DRY FOOD,65+,58,PRIVATE,9,Sep,month,sales,48.0
DRY FOOD,65+,65,PRIVATE,10,Oct,month,sales,67.0
DRY FOOD,65+,87,PRIVATE,11,Nov,month,sales,90.0
DRY FOOD,65+,79,PRIVATE,12,Dec,month,sales,41.0
FRESH FOOD,25-34,423,NATIONAL,1,Jan,month,sales,3290.0
FRESH FOOD,25-34,1526,NATIONAL,2,Feb,month,sales,5076.0
FRESH FOOD,25-34,2754,NATIONAL,3,Mar,month,sales,4768.0
FRESH FOOD,25-34,4158,NATIONAL,4,Apr,month,sales,4775.0
FRESH FOOD,25-34,5060,NATIONAL,5,May,month,sales,5163.0
FRESH FOOD,25-34,3646,NATIONAL,6,Jun,month,sales,3883.0
FRESH FOOD,25-34,3769,NATIONAL,7,Jul,month,sales,3875.0
FRESH FOOD,25-34,4191,NATIONAL,8,Aug,month,sales,4033.0
FRESH FOOD,25-34,3251,NATIONAL,9,Sep,month,sales,3573.0
FRESH FOOD,25-34,3517,NATIONAL,10,Oct,month,sales,3262.0
FRESH FOOD,25-34,4535,NATIONAL,11,Nov,month,sales,4434.0
FRESH FOOD,25-34,3836,NATIONAL,12,Dec,month,sales,1529.0
FRESH FOOD,35-44,481,NATIONAL,1,Jan,month,sales,3578.0
FRESH FOOD,35-44,1472,NATIONAL,2,Feb,month,sales,5008.0
FRESH FOOD,35-44,2000,NATIONAL,3,Mar,month,sales,3764.0
FRESH FOOD,35-44,2745,NATIONAL,4,Apr,month,sales,3818.0
FRESH FOOD,35-44,3840,NATIONAL,5,May,month,sales,4260.0
FRESH FOOD,35-44,3548,NATIONAL,6,Jun,month,sales,3644.0
FRESH FOOD,35-44,3275,NATIONAL,7,Jul,month,sales,3885.0
FRESH FOOD,35-44,3618,NATIONAL,8,Aug,month,sales,4952.0
FRESH FOOD,35-44,3255,NATIONAL,9,Sep,month,sales,3403.0
FRESH FOOD,35-44,3551,NATIONAL,10,Oct,month,sales,3481.0
FRESH FOOD,35-44,3976,NATIONAL,11,Nov,month,sales,4313.0
FRESH FOOD,35-44,3510,NATIONAL,12,Dec,month,sales,1583.0
FRESH FOOD,35-44,167,PRIVATE,1,Jan,month,sales,1684.0
FRESH FOOD,35-44,527,PRIVATE,2,Feb,month,sales,1987.0
FRESH FOOD,35-44,729,PRIVATE,3,Mar,month,sales,1542.0
FRESH FOOD,35-44,1069,PRIVATE,4,Apr,month,sales,664.0
FRESH FOOD,35-44,1213,PRIVATE,5,May,month,sales,584.0
FRESH FOOD,35-44,415,PRIVATE,6,Jun,month,sales,845.0
FRESH FOOD,35-44,1170,PRIVATE,7,Jul,month,sales,1506.0
FRESH FOOD,35-44,1750,PRIVATE,8,Aug,month,sales,1973.0
FRESH FOOD,35-44,1362,PRIVATE,9,Sep,month,sales,1712.0
FRESH FOOD,35-44,1298,PRIVATE,10,Oct,month,sales,1853.0
FRESH FOOD,35-44,1824,PRIVATE,11,Nov,month,sales,2273.0
FRESH FOOD,35-44,1595,PRIVATE,12,Dec,month,sales,694.0
FRESH FOOD,45-54,592,NATIONAL,1,Jan,month,sales,6104.0
FRESH FOOD,45-54,1941,NATIONAL,2,Feb,month,sales,7257.0
FRESH FOOD,45-54,3263,NATIONAL,3,Mar,month,sales,6046.0
FRESH FOOD,45-54,3864,NATIONAL,4,Apr,month,sales,5754.0
FRESH FOOD,45-54,6102,NATIONAL,5,May,month,sales,6750.0
FRESH FOOD,45-54,4249,NATIONAL,6,Jun,month,sales,5403.0
FRESH FOOD,45-54,4021,NATIONAL,7,Jul,month,sales,4568.0
FRESH FOOD,45-54,6147,NATIONAL,8,Aug,month,sales,6957.0
FRESH FOOD,45-54,3964,NATIONAL,9,Sep,month,sales,4525.0
FRESH FOOD,45-54,4872,NATIONAL,10,Oct,month,sales,5859.0
FRESH FOOD,45-54,6360,NATIONAL,11,Nov,month,sales,7075.0
FRESH FOOD,45-54,5669,NATIONAL,12,Dec,month,sales,2324.0
FRESH FOOD,45-54,42,PRIVATE,1,Jan,month,sales,409.0
FRESH FOOD,45-54,110,PRIVATE,2,Feb,month,sales,461.0
FRESH FOOD,45-54,152,PRIVATE,3,Mar,month,sales,290.0
FRESH FOOD,45-54,258,PRIVATE,4,Apr,month,sales,348.0
FRESH FOOD,45-54,364,PRIVATE,5,May,month,sales,421.0
FRESH FOOD,45-54,325,PRIVATE,6,Jun,month,sales,316.0
FRESH FOOD,45-54,376,PRIVATE,7,Jul,month,sales,416.0
FRESH FOOD,45-54,480,PRIVATE,8,Aug,month,sales,445.0
FRESH FOOD,45-54,338,PRIVATE,9,Sep,month,sales,347.0
